# ==== Vocabulary ====
the 30550
murdrous 10
comm its 6
deny 140
bearst 8
any 767
un prov ident 1
grant 115
beloved 42
ev ident 7
possessed 27
hate 186
gainst 114
stick st 2
conspire 8
seeking 24
roof 18
ruin ate 3
chief 104
o 2769
change 165
thought 408
i 22134
fairer 43
lodged 9
presence 111
kind 301
least 113
kind hearted 1
me 8252
fast 134
w ane 2
grow st 3
depart est 1
young ly 2
bestow st 1
mayst 75
call 594
conver test 1
herein 29
wisdom 97
without 405
folly 85
decay 31
minded 8
cease 52
threes core 7
year 92
would 2479
whom 464
store 43
harsh 30
feature less 1
rude 77
barren ly 1
perish 39
best 503
endow ed 3
gave 253
gift 67
bounty 43
cherish 21
carved 7
seal 74
meant 55
print 17
clock 39
tells 53
brave 176
sun k 4
behold 177
violet 9
past 158
sable 7
cur ls 4
silver ed 2
oer 216
white 162
lofty 18
trees 35
barren 44
erst 7
heat 78
canopy 10
herd 17
green 122
gird ed 2
shea ves 1
borne 86
bier 9
br ist ly 2
beard 92
question 158
among 96
wast es 4
go 1796
since 488
beauties 19
themselves 183
forsake 27
grow 150
scy the 6
can 1320
defence 42
save 232
takes 134
hence 379
your 7066
longer 122
yours 270
yourself 295
here 2263
against 620
coming 165
prepare 70
semblance 26
hold 499
lease 9
find 566
determin ation 6
again 840
after 436
yourself s 1
issue 115
lets 294
house 657
fall 341
honour 686
up hold 6
stor my 7
gusts 8
rage 138
eternal 40
un thrif ts 2
dear 480
know 1759
had 1558
father 878
stars 84
judgement 80
pluck 116
methinks 161
a str on o my 1
good 2962
evil 72
luck 25
plagues 14
dear ths 1
seasons 13
quality 61
fortune 345
brief 95
minutes 25
pointing 11
thunder 74
rain 71
wind 211
princes 152
oft 158
pre dict 1
heaven 664
knowledge 82
derive 11
constant 55
them 2123
read 217
truth 346
together 279
thrive 62
wouldst 141
convert 11
pro g no st ic ate 1
truths 14
doom 54
consider 51
everything 56
grows 83
holds 89
perfection 29
little 528
moment 33
huge 40
stage 41
present eth 4
nought 33
shows 127
whereon 37
secret 72
influence 12
comment 15
perceive 103
men 932
plants 17
che ered 5
even 638
selfsame 27
sky 48
vaunt 3
youthful 32
height 37
decre ase 3
wear 202
state 350
out 1472
conceit 48
inconstant 10
stay 446
sets 38
rich 183
wasteful 9
debate th 1
su ll ied 2
engra ft 1
wherefore 145
mightier 9
bloody 234
tyrant 54
fort ify 7
means 284
blessed 103
rhyme 30
stand 604
top 61
maiden 46
gard ens 7
un set 1
virtuous 103
wish 245
li ker 3
painted 58
counterfeit 53
lines 36
pen cil 4
pupil 12
pen 41
neither 209
inward 34
outward 58
keeps 80
drawn 90
skill 62
believe 248
verse 32
come 2625
filled 19
high 256
deserts 21
knows 223
hides 18
half 226
write 126
numbers 44
number 60
graces 72
poet 59
touches 28
neer 254
touched 25
earthly 38
faces 64
papers 17
yellow ed 1
scorned 9
less 226
tongue 430
rights 24
ter med 5
poets 12
stretched 7
me tre 3
antique 15
alive 97
twice in 1
compare 30
temperate 9
rough 80
winds 58
shake 113
dar ling 5
buds 16
short 115
sometime 93
hot 170
shines 31
often 130
gold 234
complexion 45
dim med 7
decl ines 4
chance 115
changing 12
course 173
unt ri m med 2
fa de 7
lose 230
possession 37
ow st 4
brag 15
wand rest 1
shade 32
long 500
breathe 65
devouring 8
blunt 75
lions 47
pa ws 3
earth 328
devour 13
brood 9
keen 25
teeth 63
fierce 42
tigers 14
jaws 11
burn 88
long lived 1
glad 140
sorry 99
fleet st 1
whateer 30
swift footed 1
wide 60
f ading 6
forbid 75
heinous 19
crime 17
carve 11
draw 219
unt ainted 7
allow 30
pattern 16
succeeding 10
worst 112
wrong 255
ever 654
young 520
womans 86
master 800
mistress 758
passion 121
heart 1063
acquainted 42
shif ting 3
false 318
womens 24
fashion 101
theirs 34
ro lling 6
gild ing 2
object 45
whereupon 17
gaze th 3
man 1911
hue 31
hu es 1
contro lling 6
steals 16
mens 97
souls 143
amaze th 1
woman 362
wert 98
created 19
till 695
wrought 44
fell 149
ado ting 1
addition 31
de fe ated 4
adding 9
thing 359
purpose 219
pri cked 7
muse 31
stirred 9
rehearse 15
couple ment 2
sun 259
moon 135
seas 57
ge ms 4
ap ri ls 3
firstborn 9
things 364
rare 64
heavens 203
air 204
ron du re 1
he ms 2
truly 177
cand les 7
fixed 29
hear say 2
sell 41
persuade 36
am 2296
fur rows 1
ex pi ate 2
cover 31
seem ly 2
raiment 8
breast 120
elder 41
therefore 654
wary 11
bearing 82
char y 1
nurse 212
babe 45
far ing 1
ill 2146
presume 22
slain 141
gavst 17
un perfect 1
actor 13
put 525
beside 35
replete 9
strengths 8
weak ens 4
trust 182
forget 96
perfect 60
ceremony 31
rite 9
strength 135
seem 195
oer charged 4
bur then 4
eloquence 13
dumb 52
pres ag ers 1
speaking 49
plead 50
recompense 29
expressed 9
learn 97
silent 39
writ 109
belongs 16
fine 102
wit 270
played 31
painter 52
ste lled 3
table 53
body 292
wherein 144
tis 1507
pers pect ive 3
painter s 2
picture d 1
bosoms 32
shop 14
hanging 42
gla zed 2
turns 63
done 707
where through 1
peep 20
therein 63
cunning 81
want 151
grace 600
favour 137
public 85
titles 31
boast 40
whilst 126
triumph 51
bars 14
favour ites 7
spread 34
mar i gold 2
suns 22
pride 128
buried 63
frown 51
glory 94
painful 10
warrior 14
fam oused 1
fight 298
thousand 348
victor ies 6
once 456
fo iled 3
book 93
ra zed 6
rest 380
forgot 95
to iled 2
remove 39
removed 30
lord 3124
vassal age 2
merit 53
duty 160
strongly 31
knit 37
send 260
written 38
em bas sage 6
witness 128
poor 707
bare 61
wanting 27
words 451
hope 385
naked 55
bestow 52
star 50
guides 11
moving 20
points 32
gracious ly 6
aspect 28
puts 58
apparel 40
loving 127
worthy 238
respect 108
dare 228
toil 34
haste 178
bed 296
res pose 1
limbs 47
travel 38
tired 24
begins 69
journey 28
bodys 26
exp ired 6
thoughts 273
far 313
abide 42
intend 54
ze alous 6
drooping 11
eyelids 15
open 177
looking 38
darkness 49
blind 88
imaginary 9
presents 23
shadow 93
sight less 6
view 92
jewel 65
hung 28
ghastly 8
makes 404
black 181
thus 847
quiet 86
return 217
plight 18
de bar red 1
benefit 40
oppression 16
eased 4
oppressed 12
enemies 117
eithers 8
reign 47
consent 101
hands 340
torture 33
complain 21
farther 40
off 535
please 414
clouds 69
blot 30
flatter 48
sw art complexion ed 1
sparkling 8
twi re 1
gild st 1
daily 33
sorrows 62
nightly 24
griefs 73
length 41
stronger 41
disgrace 56
be weep 4
out cast 3
trouble 80
deaf 27
bootless 23
cries 77
curse 111
fate 50
wishing 13
feature d 1
friends 508
des iring 6
mans 169
scope 29
enjoy 56
contented 29
these 1420
despis ing 3
haply 47
think 1098
lark 26
break 274
ar ising 1
sullen 19
hymn s 4
gate 75
wealth 75
brings 58
scorn 109
kings 320
sess ions 3
summon 14
sigh 60
lack 101
sought 46
woes 65
drown 50
flow 31
precious 82
hid 50
date less 4
af res h 5
can cell ed 5
woe 164
moan 25
expense 20
vanished 8
grieve 42
grie vances 7
fore gone 4
heavily 13
sad 186
account 49
fore be moan ed 1
paid 71
while 286
friend 564
losses 16
restored 17
en dear ed 4
hearts 238
lacking 6
supposed 30
dead 595
reigns 15
holy 209
obsequious 8
tear 88
religious 21
stoln 45
interest 33
appear 146
hidden 11
lie 347
tro phi es 7
images 12
loved 125
survive 13
well contented 1
bones 84
dust 65
res ur vey 2
deceased 8
lover 61
bet tring 1
out stri pped 2
reserve 10
exceed ed 4
vouchsafe 55
grown 59
growing 31
dearer 27
birth 90
brought 221
march 126
ranks 21
better 633
equi page 1
died 119
style 19
full 471
glorious 48
morning 137
seen 299
mountain 37
tops 12
sovereign 152
kissing 34
me a dows 3
pale 147
streams 13
al che my 3
anon 135
permit 14
basest 14
ride 60
ugly 30
rack 16
celestial 20
forlorn 25
visage 35
hide 118
stealing 19
unseen 25
west 35
early 56
morn 46
shine 54
triumphant 14
sp lend our 4
alack 86
hour 330
region 16
cloud 30
masked 12
whit 19
disdain eth 2
stain 48
stain eth 2
didst 190
promise 109
forth 412
cloak 30
base 172
oertake 8
hiding 12
bra v ry 1
rotten 42
smoke 27
enough 334
dry 75
storm beaten 1
salve 13
speak 1203
he als 1
wound 86
cures 11
physic 40
grief 250
repent 61
loss 134
offenders 16
sorrow 222
weak 122
relief 14
bears 119
offences 29
cross 75
tears 334
pearl 27
she ds 4
ransom 55
deeds 125
grieved 15
roses 36
thorns 16
silver 81
fountain s 5
mud 10
e cli ps es 5
both 708
loathsome 22
canker 19
sweetest 27
faults 111
author iz ing 1
trespass 25
corrup ting 3
sal ving 1
amiss 39
excus ing 2
sins 45
sen su al 4
fault 176
bring 487
sense 139
adverse 12
party 50
advocate 9
lawful 65
plea 11
commence 7
civil 52
access ary 4
needs 159
thief 72
sour ly 3
robs 9
confess 128
twain 48
although 85
our 3293
un divided 1
blots 8
remain 78
help 346
separ able 1
spite 68
alter 19
sole 29
steal 89
delight 76
evermore 26
acknowledge 19
lest 160
be wa iled 1
guilt 33
kindness 59
take 1284
name 698
sort 72
report 152
decre pit 4
active 9
lame 18
fortunes 168
dearest 59
comfort 202
whether 111
ent it led 2
crowned 42
sit 231
engra fted 1
despised 21
suffice d 3
subject 106
invent 9
pour st 2
into 677
argument 71
excellent 128
vulgar 22
paper 105
thanks 179
aught 81
per us al 2
whos 80
cannot 828
invention 32
tenth 9
nine 58
rhy mers 2
in vocate 3
outlive 18
slight 33
curious 16
pain 79
manners 74
ist 180
us 1755
divided 20
separ ation 5
deser vst 1
absence 57
torment 33
sour 37
leisure 65
entertain 44
teach est 5
praising 12
yea 201
hadst 106
rece iv est 2
blame 92
usest 5
bla med 5
dece iv est 1
wilful 14
taste 91
ref usest 1
forgive 78
robbery 9
poverty 24
greater 101
hates 24
known 201
injury 31
lascivious 15
kill 229
sp ites 3
foes 80
pretty 137
wrongs 74
liberty 84
absent 34
years 206
befits 10
tempt ation 5
follows 74
won 100
assa iled 6
woos 8
prevailed 14
ay 785
mightst 32
seat 66
forbear 59
stray ing 5
lead 163
riot 15
forced 33
tw of old 6
hers 55
tempt ing 6
said 421
dearly 46
wailing 8
nearly 8
ye 327
because 200
knowst 83
sake 190
suf fring 5
approve 28
gain 72
losing 24
found 240
lay 299
heres 222
flattery 25
wink 33
un respected 2
sleep 277
dreams 47
darkly 8
dark 93
directed 13
shadows 36
clear 75
clear er 5
un seeing 2
imperfect 7
heavy 186
dull 120
flesh 142
injurious 17
distance 33
space 35
limits 9
remote 13
matter 365
foot 181
farthest 14
nimble 25
jump 15
sea 243
land 213
soon 161
kills 31
leap 31
large 75
length s 2
miles 21
water 142
attend 126
receiving 8
elements 26
slow 57
bad ges 4
pur ging 3
fire 305
wherever 8
present absent 1
swift 74
motion 85
sli de 5
quick er 2
embassy 14
four 152
sink s 6
down 685
melancholy 77
until 80
lifes 27
composition 16
re cured 1
messengers 37
returned 30
assured 40
health 110
recount ing 2
told 251
straight 167
divide 28
pictures 11
bar 34
freedom 37
right 383
closet 26
pierced 7
crystal 16
defend ant 5
says 255
appearance 13
side 188
imp ane lled 1
quest 11
ten ants 6
verdict 7
determined 16
moiety 18
betwixt 56
league 37
took 174
unto 472
fam ished 7
sighs 68
smother 10
picture 52
feast 110
banquet 37
bids 70
guest 41
share 33
either 185
present 261
move 105
a wakes 5
careful 25
trifle 27
truest 14
thrust 58
falsehood 38
sure 318
wards 6
jewels 33
trifles 17
greatest 53
care 234
prey 49
locked 12
chest 13
feel 115
clo sure 4
whence 89
thence 102
proves 17
thie vish 7
prize 51
defects 8
cast 110
utmost 20
called 128
advised 27
respects 19
strangely 28
pass 150
scarcely 19
greet 45
reasons 70
settled 20
gravity 15
ens conce 4
desert 50
up rear 1
guard 135
alle ge 2
cause 363
seek 247
travels 8
teach 119
case 111
repose 28
measure d 7
beast 79
plo ds 1
du lly 3
weight 47
instinct 16
wretch 58
rider 12
speed 251
spur 37
provoke 19
sometimes 75
anger 67
thrust s 5
answers 24
groan 41
sharp 81
spur ring 4
on ward 4
offence 117
bearer 7
post ing 4
need 190
extremity 30
mounted 19
winged 15
horse 238
pace 34
perfect st 2
neigh 8
fiery 49
race 17
jade 14
going 117
went 110
wilful slow 1
towards 76
run 209
key 30
up locked 1
survey 15
blunt ing 2
point 148
seldom 35
feasts 19
solemn 46
set 508
stones 66
thin ly 3
placed 22
captain 183
car can et 2
ward robe 6
robe 23
special 38
instant 63
special blest 1
unfold ing 3
imprisoned 9
worthiness 16
lacked 9
whereof 86
millions 10
strange 266
tend 27
descri be 2
poorly 8
imit ated 2
helens 10
cheek 90
grecian 39
tires 6
fo ison 6
exter nal 7
deem 10
od our 6
blo om s 1
dye 8
perf umed 6
tinct ure 2
hang 180
wanton ly 1
breath 242
dis closes 1
virtue 205
un wooed 1
odours 10
distill s 1
marble 17
gilded 21
monuments 8
powerful 21
un swe pt 3
stone 63
bes me ared 2
slut tish 5
stat ues 4
over turn 1
broils 12
root 49
mas on ry 2
mars 53
sword 361
wars 152
quick 108
record 25
all obli vious 1
enmity 21
room 426
ending 15
arise 41
renew 13
force 123
edge 45
bl un ter 1
appetite 44
today 170
feeding 17
allay ed 2
tomorrow 251
shar pen ed 1
former 66
fill 74
hungry 25
fulness 5
spirit 273
perpetual 25
dul ness 3
interim 12
ocean 33
shore 70
banks 19
blest 44
welcome 377
thrice 69
wished 28
slave 134
services 35
require 24
world without end 2
watch 193
bitterness 11
bid 354
servant 448
adieu 104
jealous 50
affairs 69
suppose 34
fool 480
thinks 67
god 802
control 17
crave 51
vassal 21
bound 191
suffer 87
beck 5
patience 208
tame 41
sufferance 23
bide 16
accus ing 3
list 60
charter 8
pri vi la ge 1
belong 19
pardon 309
self doing 1
wait 68
waiting 14
hell 294
been 748
brains 48
beguiled 14
labouring 17
backward 23
five 128
hundred 119
courses 19
character 20
com posed 3
wonder 131
mended 14
revol ution 4
wits 91
subjects 73
worse 176
admir ing 6
waves 22
pe b bled 1
hasten 9
goes 193
sequent 10
forward s 1
contend 18
nativity 16
main 52
cra wls 1
mat ur ity 2
wherewith 12
crooked 17
confound 40
trans fix 1
flourish 137
del ves 1
parall els 3
feeds 24
rar ities 2
stands 170
mow 7
slum bers 6
broken 70
mock 90
send st 1
home 350
pry 8
shames 25
idle 72
ten ure 2
jealousy 41
awake 82
defeat 13
watchman 16
wake 59
elsewhere 10
near 343
sin 181
posses seth 2
soul 466
remedy 62
ground ed 5
def ine 5
worth s 3
sur mount 2
indeed 449
beat ed 1
chop t 3
tan ned 1
anti quity 7
contrary 49
self loving 3
iniquity 12
myself 597
painting 24
cr ushed 2
oer worn 4
dra ined 2
travell ed 4
ages 20
steep y 2
hes 337
vanish ing 1
confound ing 4
knife 62
cut 181
de faced 6
rich proud 1
out worn 4
towers 13
down ra sed 1
brass 19
advantage 76
kingdom 98
firm 41
soil 25
win 128
watery 16
increasing 9
interchange 7
confounded 12
ruin 42
taught 53
ruminate 8
choose 110
fears 88
boundless 10
mortality 16
oers ways 2
power 362
action 120
flower 68
honey 40
wrack ful 1
siege 35
bat tring 1
rocks 23
im pre gna ble 4
stout 20
gates 101
steel 73
decay s 7
fearful 97
meditation 8
spoil 28
miracle 27
ink 30
rest ful 2
cry 247
beggar 60
born 182
need y 7
trimmed 7
jo ll ity 6
pur est 6
faith 424
un happily 5
forsworn 64
shame fully 5
mis placed 3
rudely 8
strumpet ed 2
wrongfully 8
disgraced 14
lim ping 3
sway 37
dis able d 3
tonguetied 12
authority 58
doctor like 1
simple 118
mis called 1
simplicity 14
captive 18
infection 21
impiety 8
achieve 14
lace 7
society 26
imitate 13
indirectly 9
bankrupt 12
beggar ed 2
blush 59
lively 15
veins 32
ex chequer 7
gains 8
stor es 2
last 302
bad 133
map 13
lived 59
bastard 202
signs 43
durst 58
inhabit 11
tresses 7
sepulch res 4
sh orn 2
fleece 10
gay 11
anothers 31
robbing 6
dress 22
yor e 1
mend 61
tongues 90
voice 169
utter ing 2
commend 101
accents 8
seeing 64
shown 33
guess 54
chur ls 2
add 50
rank 52
smell 57
weeds 47
mat cheth 1
common 159
defect 17
slanders 20
suspect 42
crow 32
flies 62
slander 47
wooed 14
vice 56
present st 1
pure 98
un stained 6
passed 35
ambush 9
victor 11
charged 22
tie 25
envy 59
en lar ged 2
kingdoms 37
owe 80
mourn 31
surly 11
bell 38
warning 15
fled 98
vile 124
vil est 5
nay 599
line 45
remember 208
thinking 49
perhaps 46
compounded 11
clay 16
wise 175
task 35
rec ite 1
devise 49
willingly 36
impart 11
un true 7
shamed 15
yellow 30
few 70
boughs 12
ruined 8
cho ir s 1
late 207
birds 57
s ang 1
seest 55
twi light 1
sun set 4
fa deth 1
seals 11
glow ing 6
ashes 24
deathbed 9
expire 9
consu med 6
nourished 8
perce iv st 1
arrest 28
bail 17
carry 96
memor ial 3
re vie west 1
re view 2
consecrate 9
dre gs 7
coward 93
wretch s 2
contains 12
remains 44
food 75
sweet season ed 1
showers 17
ground 187
peace 547
strife 44
twixt 80
miser 4
enjoy er 1
doubting 8
fil ch ing 3
count ing 4
better ed 4
feasting 10
clean 24
starved 11
possess ing 2
pursu ing 5
pine 23
surfeit 19
glutton ing 1
var i ation 3
glance 14
aside 480
new found 2
meth ods 2
comp ounds 6
noted 24
word 515
showing 21
proceed 72
always 65
dress ing 1
spend ing 3
already 150
spent 75
telling 27
dial 9
v ac ant 6
minds 69
im print 1
learning 31
mouthed 3
graves 37
di als 6
sha dy 4
stealth 10
progress 13
eternity 14
contain 17
commit 42
blan ks 5
children 119
nur sed 5
delivered 51
brain 83
acquaintance 40
offices 34
profit 42
enrich 10
inv oked 1
assistance 15
ali en 3
got 128
po esy 5
disperse 11
ignorance 40
aloft 24
fly 260
added 20
feathers 16
learned s 1
wing 30
double 84
comp ile 2
arts 15
graced 12
advance 41
aid 65
decay ed 6
sick 170
deserves 40
travail 10
worthier 14
pays 28
stole 25
behaviour 31
afford 22
thank 308
owes 25
faint 52
knowing 48
thereof 41
sp ends 5
fame 87
humble 68
proudest 14
sail 52
saucy 35
bark 51
inferior 10
broad 21
wil fully 5
shallow est 2
af lo at 2
sound less 2
wreck ed 3
worthless 18
boat 11
tall 38
building 10
goodly 87
epitaph 16
forgotten 15
immortal 29
yield 161
en tom bed 4
monument 46
oer read 4
bre ather s 1
breathes 14
mouths 41
attaint 9
oer look 5
dedic ated 3
writ ers 7
blessing 49
finding 19
limit 20
enforced 29
anew 10
fresher 10
stamp 26
time better ing 1
devised 17
stra ined 3
rhetoric 8
sym path ized 3
plain 143
tru ete lling 1
gross 61
cheeks 95
abused 27
saw 291
exceed 20
debt 47
slept 37
ext ant 6
modern 10
quill 5
silence 115
imput e 4
im pair 2
mute 20
confine 18
im mu red 4
example 33
equal 56
grew 38
lean 44
pen ury 7
writes 26
dign ifies 4
story 78
counter part 1
admired 16
blessings 21
praises 32
com ments 4
richly 16
comp iled 3
phrase 30
mus es 2
fi led 6
un letter ed 4
clerk 25
amen 84
hymn 6
able 65
affords 16
pol ished 1
ref ined 4
hearing 95
praised 25
something 191
hind most 3
ripe 42
in hearse 1
spirits 142
above 157
struck 85
com peers 2
giving 63
aston ished 2
af fable 6
familiar 37
ghost 83
gu lls 2
intelligence 28
victors 12
countenance 60
en fee bled 3
farewell 373
estim ate 6
re le as ing 2
bonds 24
determin ate 5
grant ing 4
riches 24
deserving 17
pat ent 4
s wer ving 3
mistaking 10
mis pris ion 7
comes 658
waking 29
disposed 14
weakness 27
concealed 10
attain ted 4
gain er 2
bending 20
injuries 24
doing 74
vantage 42
double vantage 1
la men ess 2
halt 12
desired 24
strang le 7
walks 27
profane 18
vow 89
debate 17
bent 46
join 59
bow 62
drop 80
after loss 1
scaped 9
rear ward 5
conquered 15
windy 9
rain y 4
morrow 122
linger 11
purposed 11
overthrow 18
petty 33
on set 5
strains 9
compar ed 4
garments 51
new fang led 3
haw ks 5
hounds 32
humour 102
ad jun ct 4
finds 53
particulars 11
general 216
richer 19
prouder 8
cost s 5
horses 69
wretched 82
term 26
depends 11
depend 16
vex 19
revolt 43
whats 351
blessed fair 1
sup posing 5
deceived 42
altered 12
hatred 17
man ys 2
history 22
mood s 5
frowns 24
creation 13
decree 12
wor kings 3
sweetness 13
eves 4
apple 10
hurt 102
un moved 1
rightly 26
inherit 16
lords 527
own ers 7
ste wards 2
excellence 19
out bra ves 1
dignity 39
turn 286
sour est 4
li lies 4
f ester 3
fra grant 6
spot 12
bud ding 3
en close 2
sport 133
dispraise 10
nam ing 5
bless es 2
mansion 14
vices 16
habit ation 5
chose 19
veil 9
heed 57
privilege 32
hard est 2
ill used 2
wantonness 8
resort 15
finger 64
throned 7
queen 1047
esteemed 10
trans lated 5
de emed 3
lambs 14
stern 35
wolf 38
betray 41
lamb 39
translate 9
gaz ers 2
fleet ing 5
free z ings 1
felt 44
dece mb ers 1
everywhere 21
teem ing 6
autumn 7
big 43
wanton 76
burden 52
widow ed 2
wo mbs 4
abund ant 4
seemed 33
orphans 9
un father ed 2
fruit 42
pleasures 48
cheer 78
dread ing 4
proud p ied 1
dressed 16
trim 23
saturn 7
laughed 19
leap ed 3
lays 30
different 13
lap 21
li lys 1
ver mi lion 1
figures 19
forward 106
smells 14
purple 18
soft 137
dwells 19
grossly 20
dy ed 6
lily 18
condemned 30
mar jor am 4
hair 126
fearfully 10
blushing 28
despair 60
red 98
anne x ed 2
theft 17
growth 17
venge ful 3
colour 88
forget st 3
spend st 2
fury 73
